C7057|Disease, Disorder or Finding
C34789|Lupus Glomerulonephritis
C34644|Membranoproliferative Glomerulonephritis
C34365|Alastrim
C35028|Modified Smallpox
C123071|Nephrotic Syndrome - ARHGDIA Associated
C85061|Scleromyxedema
C123049|Congenital Nephrotic Syndrome - Treponema Pallidum Associated
C128145|Pierson Syndrome
C123114|Secondary Collapsing Glomerulopathy
C123133|Nephropathy due to Amphotericin
C123123|Tip Lesion Glomerulopathy
C123134|Nephropathy due to Analgesic Drugs
C123072|Nephrotic Syndrome - CD2AP Associated
C123135|Nephropathy due to Ciclosporin
C120888|Glomerulosclerosis
C97132|Chicken Pox
C36170|Viral Hemorrhagic Fever
C113672|Disseminated Oka Varicella Zoster Virus Infection
C59965|CTCAE Grade 5 Jejunum Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59971|CTCAE Grade 5 Kidney Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59968|CTCAE Grade 5 Joint Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C71079|Herpes Zoster
C60147|Jejunum Infection Adverse Event with Unknown Absolute Neutrophil Count
C55856|CTCAE Grade 4 Nyctalopia
C55858|CTCAE Grade 1 Nystagmus
C55860|CTCAE Grade 3 Nystagmus
C55859|CTCAE Grade 2 Nystagmus
C60150|Joint Infection Adverse Event with Unknown Absolute Neutrophil Count
C55863|CTCAE Grade 1 Ocular Surface Disease
C59966|CTCAE Grade 5 Jejunum Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C55864|CTCAE Grade 2 Ocular Surface Disease
C55865|CTCAE Grade 3 Ocular Surface Disease
C60153|Kidney Infection Adverse Event with Unknown Absolute Neutrophil Count
C59969|CTCAE Grade 5 Joint Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59972|CTCAE Grade 5 Kidney Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C84609|Campomelic Dysplasia
C55208|Serum Hyperkalemia Adverse Event
C55185|Serum Hypermagnesemia Adverse Event
C55166|CTCAE Grade 1 Serum Hyperglycemia
C55167|CTCAE Grade 2 Serum Hyperglycemia
C132290|Carbonic Anhydrase I Deficiency
C55168|CTCAE Grade 3 Serum Hyperglycemia
C84610|Camurati-Engelmann Syndrome
C26960|Lymphosarcoma Involving Spleen
C7213|AIDS-Related Diffuse Large Cell Lymphoma
C8297|AIDS-Related Diffuse Small Cleaved Cell Lymphoma
C8296|AIDS-Related Diffuse Mixed Cell Lymphoma
C70649|T-Cell Chronic Lymphocytic Leukemia
C41245|Pancreatic Non-Invasive Mucinous Cystadenocarcinoma
C27822|Diffuse Malignant Lymphoma
C9108|Intermediate Grade Adult Non-Hodgkin's Lymphoma
C9109|High Grade Adult Non-Hodgkin's Lymphoma
C9098|Low Grade Adult Non-Hodgkin's Lymphoma
C67519|TdT Negative Acute Lymphoblastic Leukemia
C27736|Very Low Risk Colorectal Gastrointestinal Stromal Tumor
C27732|Very Low Risk Esophageal Gastrointestinal Stromal Tumor
C27733|Very Low Risk Gastric Gastrointestinal Stromal Tumor
C68689|TdT Positive Acute Lymphoblastic Leukemia
C67453|Pancreatic Polypeptide Tumor
C4173|Papillary Eccrine Adenoma
C34789|Lupus Glomerulonephritis
C123140|IgA Nephropathy, Familal
C123141|IgA Nephropathy, Infection-associated
C121210|IgA Nephropathy, Liver Disease-associated
C34644|Membranoproliferative Glomerulonephritis
C123114|Secondary Collapsing Glomerulopathy
C123123|Tip Lesion Glomerulopathy
C120888|Glomerulosclerosis
C123071|Nephrotic Syndrome - ARHGDIA Associated
C123072|Nephrotic Syndrome - CD2AP Associated
C123049|Congenital Nephrotic Syndrome - Treponema Pallidum Associated
C128145|Pierson Syndrome
C123133|Nephropathy due to Amphotericin
C123134|Nephropathy due to Analgesic Drugs
C123135|Nephropathy due to Ciclosporin
C37954|Flatulence
C78234|Cecal Hemorrhage
C78257|Duodenal Hemorrhage
C34962|Pulp Degeneration
C78240|Colonic Hemorrhage
C98830|Ladd Band
C114928|Infant Formula Intolerance
C99964|Inserted During Procedure and After Percutaneous Coronary Intervention Began
C78566|Post-Nasal Drip
C52595|Pulpitis
C27649|Salivary Cyst
C50634|Liver Dysfunction
C84395|Simultanagnosia
C119244|Insignificant Disease by ECG Finding
C99962|Inserted During a Non-Percutaneous Coronary Intervention
C50599|Idioventricular Rhythm
C27045|Nodal Arrhythmia by ECG Finding
C84360|Distant Intracranial Metastasis
C35045|Subconjunctival Hemorrhage
C45217|Regional Implant
C54036|Drop Metastasis
C92235|Right Ventricular Conduction Delay by ECG Finding
C99047|Retinopathy of Prematurity Stage 1 Demarcation Line
C116770|Retinopathy of Prematurity Stage 0
C99048|Retinopathy of Prematurity Stage 2 Intraretinal Ridge
C102652|Junctional Premature Complex by ECG Finding
C71026|ST Segment Abnormality by ECG Finding
C90430|P Wave Abnormality by ECG Finding
C102628|Early R Wave Transition by ECG Finding
C102653|Late R Wave Transition by ECG Finding
C71033|Poor R Wave Progression by ECG Finding
C111029|Mushroom-Shaped Lesion
C62628|Aflatoxins Toxicity
C27994|Cardiotoxicity
C61052|Alcohol Toxicity
C50443|Erosion
C126089|Needle Tract Lesion
C35163|Skin Atrophy
C3426|Ulcer
C26997|Hypertrophic Scar
C34645|Membranous Glomerulonephritis
C3145|Keloid
C50737|Skin Scar
C123115|Systemic Lupus Erythematosus Nephritis Class I
C123116|Systemic Lupus Erythematosus Nephritis Class II
C123117|Systemic Lupus Erythematosus Nephritis Class III
C123039|Dense Deposit Disease
C123055|Immune Complex Mediated Membranoproliferative Glomerulonephritis
C35547|Yellow Fever Virus Infection
C123056|Membranoproliferative Glomerulonephritis Type 3 (AQ)
C123073|Nephrotic Syndrome - CFH Associated
C35188|Skin Disorder Arising from Mental Factor
C123074|Nephrotic Syndrome - COQ2 Associated
C123136|Nephropathy due to Cisplatin
C123027|Hantavirus Nephropathy
C123137|Nephropathy due to Tacrolimus
C123075|Nephrotic Syndrome - COQ6 Associated
C123131|mTOR Inhibitor - Induced Nephropathy
C123028|Heavy-Metal-Induced Nephropathy
C34395|Arthropod-Borne Hemorrhagic Fever
C34682|Congo-Crimean Hemorrhagic Fever
C36171|Ebola Hemorrhagic Fever
C60154|Larynx Infection Adverse Event Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C60157|Lens Infection Adverse Event Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C60160|Lip or Perioral Infection Adverse Event Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C128423|Zika Virus Infection
C59259|CTCAE Grade 2 Jejunum Infection with Unknown Absolute Neutrophil Count
C59495|CTCAE Grade 3 Jejunum Infection with Unknown Absolute Neutrophil Count
C59731|CTCAE Grade 4 Jejunum Infection with Unknown Absolute Neutrophil Count
C55861|CTCAE Grade 4 Nystagmus
C59262|CTCAE Grade 2 Joint Infection with Unknown Absolute Neutrophil Count
C55872|Ophthalmoplegia and Diplopia Adverse Event
C59498|CTCAE Grade 3 Joint Infection with Unknown Absolute Neutrophil Count
C59734|CTCAE Grade 4 Joint Infection with Unknown Absolute Neutrophil Count
C60155|Larynx Infection Adverse Event with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59265|CTCAE Grade 2 Kidney Infection with Unknown Absolute Neutrophil Count
C55877|Optic Disc Edema Adverse Event
C59501|CTCAE Grade 3 Kidney Infection with Unknown Absolute Neutrophil Count
C59737|CTCAE Grade 4 Kidney Infection with Unknown Absolute Neutrophil Count
C60158|Lens Infection Adverse Event with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C60161|Lip or Perioral Infection Adverse Event with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C120205|Acampomelic Campomelic Dysplasia
C55209|CTCAE Grade 1 Serum Hyperkalemia
C55210|CTCAE Grade 2 Serum Hyperkalemia
C55211|CTCAE Grade 3 Serum Hyperkalemia
C55186|CTCAE Grade 1 Serum Hypermagnesemia
C55187|CTCAE Grade 3 Serum Hypermagnesemia
C55169|CTCAE Grade 4 Serum Hyperglycemia
C55188|CTCAE Grade 4 Serum Hypermagnesemia
C55170|CTCAE Grade 5 Serum Hyperglycemia
C84617|Cardiofaciocutaneous Syndrome
C132196|Carboxypeptidase N Deficiency
C7202|Malignant Histiocytosis
C3165|CALLA Positive Lymphoblastic Leukemia
C3458|High Grade Lymphoma
C7380|Thyroid Gland Papillary and Follicular Carcinoma
C27099|Malignant Lymphoma, Histiocytic, Diffuse
C27266|Malignant Lymphoma, Non-Cleaved, Diffuse
C7872|Adult Diffuse Large Cell Lymphoma
C8157|Recurrent Intermediate Grade Adult Non-Hodgkin's Lymphoma
C8131|Stage III Intermediate Grade Adult Non-Hodgkin's Lymphoma
C8118|Stage II Intermediate Grade Adult Non-Hodgkin's Lymphoma
C8162|Recurrent High Grade Adult Non-Hodgkin's Lymphoma
C8136|Stage III High Grade Adult Non-Hodgkin's Lymphoma
C8123|Stage II High Grade Adult Non-Hodgkin's Lymphoma
C8153|Recurrent Low Grade Adult Non-Hodgkin's Lymphoma
C8127|Stage III Low Grade Adult Non-Hodgkin's Lymphoma
C8082|Stage II Low Grade Adult Non-Hodgkin's Lymphoma
C114595|Adult TdT Negative Acute Lymphoblastic Leukemia
C27734|Very Low Risk Small Intestinal Gastrointestinal Stromal Tumor
C114596|Childhood TdT Negative Acute Lymphoblastic Leukemia
C114593|Adult TdT Positive Acute Lymphoblastic Leukemia
C114594|Childhood TdT Positive Acute Lymphoblastic Leukemia
C45922|Pituitary Gland Neoplasm (Antiquated)
C65161|Polygonal Cell Carcinoma
C123115|Systemic Lupus Erythematosus Nephritis Class I
C123116|Systemic Lupus Erythematosus Nephritis Class II
C123117|Systemic Lupus Erythematosus Nephritis Class III
C123039|Dense Deposit Disease
C34645|Membranous Glomerulonephritis
C123055|Immune Complex Mediated Membranoproliferative Glomerulonephritis
C123056|Membranoproliferative Glomerulonephritis Type 3 (AQ)
C123027|Hantavirus Nephropathy
C123028|Heavy-Metal-Induced Nephropathy
C123073|Nephrotic Syndrome - CFH Associated
C123074|Nephrotic Syndrome - COQ2 Associated
C123075|Nephrotic Syndrome - COQ6 Associated
C123136|Nephropathy due to Cisplatin
C123137|Nephropathy due to Tacrolimus
C123131|mTOR Inhibitor - Induced Nephropathy
C34630|Gagging
C78353|Ileal Hemorrhage
C94588|Tooth Angulation
C78371|Intestinal Stoma Site Hemorrhage
C124065|Liver Iron Concentration
C78397|Jejunal Hemorrhage
C3100|Hepatomegaly
C99963|Inserted During a Procedure but Prior to Percutaneous Coronary Intervention
C120906|Septal Deviation
C62542|Tooth Crowding
C80112|Tooth Discoloration
C113483|Malabsorption
C62248|Isorhythmic Atrioventricular Dissociation
C50786|Uncontrolled Delayed Intraocular Pressure
C50622|Irregular Pulse
C71030|J Point Elevation
C62242|Sinus Arrest by ECG Finding
C87149|Visual Acuity
C41425|Nodular Lesion
C90451|S Wave Abnormality by ECG Finding
C99049|Retinopathy of Prematurity Stage 3 Ridge with Extraretinal Fibroblastic Proliferation
C99050|Retinopathy of Prematurity Stage 4 Subtotal Retinal Detachment
C99051|Retinopathy of Prematurity Stage 5 Total Retinal Detachment
C62247|Prolonged PR Interval by ECG Finding
C41330|ST Segment Depression by ECG Finding
C71031|Non-Specific ST-T Changes by ECG Finding
C50540|ST Segment Elevation by ECG Finding
C90444|R Wave Notched by ECG Finding
C90431|P Wave Notched by ECG Finding
C61395|R On T Phenomenon by ECG Finding
C53974|Non-Hereditary Lesion
C27988|Cytotoxicity
C63814|Immunotoxicity
C50699|Pocket Erosion
C27955|Drug Toxicity
C110962|Non-Index Lesion
C34557|Skin Pigmentation Disorder
C50845|Skin Erosion
C34765|Lower Extremity Ulcer
C118316|Mucosal Ulcer
C50706|Pressure Sore
C123023|Membranous Lupus Nephritis
C123057|Membranous Nephropathy - Autoimmune Disorder Associated
C123059|Membranous Nephropathy - Drug Associated
C34346|Acne Keloid
C123118|Systemic Lupus Erythematosus Nephritis Class IV
C123120|Systemic Lupus Erythematosus Nephritis Class IV S
C123119|Systemic Lupus Erythematosus Nephritis Class IV G
C35445|Mesangial Proliferative Glomerulonephritis
C123076|Nephrotic Syndrome - CRB2 Associated
C123077|Nephrotic Syndrome - CUBN Associated
C3374|Skin Tag
C4757|Hypertensive Nephropathy
C123078|Nephrotic Syndrome - Cytomegalovirus Associated
C123195|Idiopathic Renal Papillary Necrosis
C96190|Ischemic Glomerulopathy
C128418|Lassa Fever
C35410|Mite-Borne Hemorrhagic Fever
C35174|Mosquito-Borne Hemorrhagic Fever
C59266|CTCAE Grade 2 Larynx Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59502|CTCAE Grade 3 Larynx Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59738|CTCAE Grade 4 Larynx Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59269|CTCAE Grade 2 Lens Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59505|CTCAE Grade 3 Lens Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59741|CTCAE Grade 4 Lens Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59272|CTCAE Grade 2 Lip or Perioral Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59508|CTCAE Grade 3 Lip or Perioral Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59967|CTCAE Grade 5 Jejunum Infection with Unknown Absolute Neutrophil Count
C59744|CTCAE Grade 4 Lip or Perioral Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C55873|CTCAE Grade 1 Ophthalmoplegia and Diplopia
C59970|CTCAE Grade 5 Joint Infection with Unknown Absolute Neutrophil Count
C55866|Other Ocular and Visual Adverse Event
C55875|CTCAE Grade 3 Ophthalmoplegia and Diplopia
C55874|CTCAE Grade 2 Ophthalmoplegia and Diplopia
C59267|CTCAE Grade 2 Larynx Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59503|CTCAE Grade 3 Larynx Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59739|CTCAE Grade 4 Larynx Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59973|CTCAE Grade 5 Kidney Infection with Unknown Absolute Neutrophil Count
C55878|CTCAE Grade 1 Optic Disc Edema
C55879|CTCAE Grade 2 Optic Disc Edema
C55880|CTCAE Grade 3 Optic Disc Edema
C59270|CTCAE Grade 2 Lens Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59506|CTCAE Grade 3 Lens Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59742|CTCAE Grade 4 Lens Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59273|CTCAE Grade 2 Lip or Perioral Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59509|CTCAE Grade 3 Lip or Perioral Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59745|CTCAE Grade 4 Lip or Perioral Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C55213|CTCAE Grade 5 Serum Hyperkalemia
C55212|CTCAE Grade 4 Serum Hyperkalemia
C133086|Carnitine-Acylcarnitine Translocase Deficiency
C55189|CTCAE Grade 5 Serum Hypermagnesemia
C61245|Cartilage Hair Hypoplasia
C55225|Serum Hypernatremia Adverse Event
C75477|Cat-Eye Syndrome
C36277|Monoclonal Polymorphic Post-Transplant Lymphoproliferative Disorder
C6817|High Grade B-Cell Non-Hodgkin's Lymphoma
C4736|High Grade T-Cell Lymphoma
C27259|Malignant Non-Hodgkin's Lymphoma, Diffuse, Lymphocytic, Poorly Differentiated
C3763|Pulmonary Adenomatosis
C8161|Recurrent Adult Diffuse Large Cell Lymphoma
C8122|Stage II Adult Diffuse Large Cell Lymphoma
C8135|Stage III Adult Diffuse Large Cell Lymphoma
C8144|Stage IV Intermediate Grade Adult Non-Hodgkin's Lymphoma
C8149|Stage IV High Grade Adult Non-Hodgkin's Lymphoma
C8074|Stage I Intermediate Grade Adult Non-Hodgkin's Lymphoma
C8081|Stage I High Grade Adult Non-Hodgkin's Lymphoma
C8140|Stage IV Low Grade Adult Non-Hodgkin's Lymphoma
C66818|Nervous System Neoplasm (Antiquated)
C8069|Stage I Low Grade Adult Non-Hodgkin's Lymphoma
C27352|Peripheral T-Cell Lymphoma, Large Cell
C4147|Pituitary Gland Acidophil Carcinoma
C6780|Pituitary Gland Acidophil Adenoma
C27392|Pituitary Gland Basophil Carcinoma
C5728|Solid Pseudopapillary Carcinoma of the Pancreas
C123119|Systemic Lupus Erythematosus Nephritis Class IV G
C123118|Systemic Lupus Erythematosus Nephritis Class IV
C123023|Membranous Lupus Nephritis
C123120|Systemic Lupus Erythematosus Nephritis Class IV S
C123057|Membranous Nephropathy - Autoimmune Disorder Associated
C123059|Membranous Nephropathy - Drug Associated
C35445|Mesangial Proliferative Glomerulonephritis
C4757|Hypertensive Nephropathy
C123195|Idiopathic Renal Papillary Necrosis
C123076|Nephrotic Syndrome - CRB2 Associated
C123077|Nephrotic Syndrome - CUBN Associated
C123078|Nephrotic Syndrome - Cytomegalovirus Associated
C96190|Ischemic Glomerulopathy
C118180|Hyperphagia
C27054|Rectal Hemorrhage
C50778|Tooth Sensitivity
C86571|Melena
C121574|Hypophagia
C34738|Ischemia
C50747|Sore Throat
C60714|White Spot Lesion
C3304|Pancreatic Cyst
C116129|Junctional Escape Complexes by ECG Finding
C116133|Low Voltage in Limb Leads Only by ECG Finding
C118727|Visual Field Defect
C80424|Ischemic Myocardium
C62246|Short PR Interval by ECG Finding
C50808|Vitreous Floater
C41466|Multinodular Lesion
C99044|Retinopathy of Prematurity in Zone 1
C99045|Retinopathy of Prematurity in Zone 2
C71083|T Wave Abnormality by ECG Finding
C99046|Retinopathy of Prematurity in Zone 3
C62239|Sinus Arrhythmia by ECG Finding
C62163|Maximum ST Segment Depression by ECG Finding
C62161|Mean ST Segment Depression by ECG Finding
C62162|Minimum ST Segment Depression by ECG Finding
C71029|ST Elevation Pericarditis by ECG Finding
C71055|Ventricular Trigeminy by ECG Finding
C111097|Sinus Bradycardia by ECG Finding
C36110|Non-Measurable Lesion
C28008|Irreversible Toxicity
C83323|Laboratory Test Toxicity
C42606|Chemotherapeutic Agent Toxicity
C34539|Digitalis Toxicity
C81193|Immunosuppression-Related Post-Transplant Toxicity
C95431|Pancreatic Intraepithelial Neoplasia/Lesion-1A
C26881|Solar Lentigo
C54247|Skin Ulcer
C54247|Skin Ulcer
C79766|Stomal Ulcer
C123060|Membranous Nephropathy - Idiopathic
C112115|Chronic Decubitus
C123061|Membranous Nephropathy - Infection Associated
C123062|Membranous Nephropathy - Malignancy Associated
C85077|Staphylococcal Scalded Skin Syndrome
C123121|Systemic Lupus Erythematosus Nephritis Class V
C123122|Systemic Lupus Erythematosus Nephritis Class VI
C34844|Minimal Change Glomerulonephritis
C123079|Nephrotic Syndrome - DGKE Associated
C123080|Nephrotic Syndrome - EMP2 Associated
C123196|Ischemic Nephropathy
C98919|Ear Tag
C123081|Nephrotic Syndrome - Epstein-Barr Virus Associated
C123029|Leptospirosis Nephropathy
C123197|Malignant Hypertensive Nephropathy
C128419|Rift Valley Fever
C35411|Tick-Borne Hemorrhagic Fever
C35412|Rodent-Borne Hemorrhagic Fever
C59974|CTCAE Grade 5 Larynx Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59977|CTCAE Grade 5 Lens Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59980|CTCAE Grade 5 Lip or Perioral Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C55876|CTCAE Grade 4 Ophthalmoplegia and Diplopia
C60156|Larynx Infection Adverse Event with Unknown Absolute Neutrophil Count
C60159|Lens Infection Adverse Event with Unknown Absolute Neutrophil Count
C55867|CTCAE Grade 1 Other Ocular and Visual
C55868|CTCAE Grade 2 Other Ocular and Visual
C55869|CTCAE Grade 3 Other Ocular and Visual
C60162|Lip or Perioral Infection Adverse Event with Unknown Absolute Neutrophil Count
C55881|CTCAE Grade 4 Optic Disc Edema
C59975|CTCAE Grade 5 Larynx Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59978|CTCAE Grade 5 Lens Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59981|CTCAE Grade 5 Lip or Perioral Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C55236|Serum Hypertriglyceridemia Adverse Event
C84618|Cataplexy
C55243|Serum Hyperuricemia Adverse Event
C3817|Cerebrooculofacioskeletal Syndrome
C55227|CTCAE Grade 2 Serum Hypernatremia
C55226|CTCAE Grade 1 Serum Hypernatremia
C55228|CTCAE Grade 3 Serum Hypernatremia
C84628|Cerebrotendinous Xanthomatosis
C36276|Polyclonal Polymorphic Post-Transplant Lymphoproliferative Disorder
C5892|Stage 0 Oral Cavity Verrucous Carcinoma
C8475|Stage II Contiguous Adult Diffuse Large Cell Lymphoma
C5005|High Grade Burkitt-Like Lymphoma
C8480|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma
C8148|Stage IV Adult Diffuse Large Cell Lymphoma
C8077|Stage I Adult Diffuse Large Cell Lymphoma
C7172|Central Nervous System Neuroepithelial Neoplasm of Uncertain Origin
C66817|Hemangioblastic Meningioma
C66803|Cerebellar Sarcoma
C3825|Pseudolymphoma
C2856|Pituitary Gland Basophil Adenoma
C3459|Intermediate Grade Lymphoma
C4148|Pituitary Gland Mixed Acidophil-Basophil Adenoma
C4149|Pituitary Gland Mixed Acidophil-Basophil Carcinoma
C8206|Stage III Oral Cavity Verrucous Cancer
C123121|Systemic Lupus Erythematosus Nephritis Class V
C123122|Systemic Lupus Erythematosus Nephritis Class VI
C123061|Membranous Nephropathy - Infection Associated
C123060|Membranous Nephropathy - Idiopathic
C123062|Membranous Nephropathy - Malignancy Associated
C34844|Minimal Change Glomerulonephritis
C123196|Ischemic Nephropathy
C123029|Leptospirosis Nephropathy
C123079|Nephrotic Syndrome - DGKE Associated
C123080|Nephrotic Syndrome - EMP2 Associated
C123081|Nephrotic Syndrome - Epstein-Barr Virus Associated
C123197|Malignant Hypertensive Nephropathy
C3143|Jaundice
C3259|Nausea and Vomiting
C113398|Melena Neonatorum
C122580|Pneumatosis Intestinalis
C118861|Anterior Segment Ischemia
C78712|Visceral Artery Ischemia
C78535|Peripheral Ischemia
C78651|Trismus
C115917|Untreated Metastatic Squamous Cell Cancer to Neck with Occult Primary
C124043|Portal Flow Reversal
C118729|Congruent Visual Field Defect
C118728|Central Visual Field Defect
C101589|Myocardial Infarction by ECG Finding
C118731|Hemianopsia
C102675|Myocardial Ischemia by ECG Finding
C80494|Ischemic Myocardium Percentage
C106579|U Wave Abnormality by ECG Finding
C78717|Watering Eyes
C124069|Papulosquamous Lesion
C71032|T Wave Notched by ECG Finding
C71085|T Wave Inversion by ECG Finding
C71086|T Wave Peaked by ECG Finding
C62240|Wandering Atrial Pacemaker by ECG Finding
C71089|U Waves by ECG Finding
C62259|Ventricular Couplet by ECG Finding
C120613|Marked Sinus Bradycardia by ECG Finding
C111083|Modified Overall Immune Related Response Criterion, New Non-Measurable Lesion
C120064|Marrow Toxic Injury
C81194|Methotrexate Toxicity
C27962|Radiation Toxicity
C45328|Papulovesicular Lesion
C119997|Vasculitic Ulcer
C79484|Stevens-Johnson Syndrome
C123063|Membranous Nephropathy - NEP Induced
C123064|Membranous Nephropathy - PLA2R Induced
C123065|Membranous Nephropathy - THSD7A Induced
C112833|Tinea Versicolor
C123108|Pauci-Immune Glomerulonephritis - ANCA Negative
C123109|Pauci-Immune Glomerulonephritis - Renal Limited
C123082|Nephrotic Syndrome - Hepatitis B Virus Associated
C123083|Nephrotic Syndrome - Hepatitis C Virus Associated
C123199|Nephritic Syndrome
C79777|Toxic Epidermal Necrolysis
C123200|Nephronophthisis
C123084|Nephrotic Syndrome - Human Immunodeficiency Virus Associated
C123201|Nephropathy Associated with Rhabdomyolysis
C35121|Venezuelan Equine Fever
C60163|Liver Infection Adverse Event Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C60166|Lung Infection Adverse Event Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C60169|Lymphatic Infection Adverse Event Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C55916|Photophobia Adverse Event
C59268|CTCAE Grade 2 Larynx Infection with Unknown Absolute Neutrophil Count
C59740|CTCAE Grade 4 Larynx Infection with Unknown Absolute Neutrophil Count
C59504|CTCAE Grade 3 Larynx Infection with Unknown Absolute Neutrophil Count
C59271|CTCAE Grade 2 Lens Infection with Unknown Absolute Neutrophil Count
C59507|CTCAE Grade 3 Lens Infection with Unknown Absolute Neutrophil Count
C59743|CTCAE Grade 4 Lens Infection with Unknown Absolute Neutrophil Count
C55870|CTCAE Grade 4 Other Ocular and Visual
C55871|CTCAE Grade 5 Other Ocular and Visual
C59274|CTCAE Grade 2 Lip or Perioral Infection with Unknown Absolute Neutrophil Count
C59510|CTCAE Grade 3 Lip or Perioral Infection with Unknown Absolute Neutrophil Count
C59746|CTCAE Grade 4 Lip or Perioral Infection with Unknown Absolute Neutrophil Count
C60164|Liver Infection Adverse Event with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C55882|Proptosis and Enophthalmos Adverse Event
C60167|Lung Infection Adverse Event with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C55237|CTCAE Grade 1 Serum Hypertriglyceridemia
C60170|Lymphatic Infection Adverse Event with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C55238|CTCAE Grade 2 Serum Hypertriglyceridemia
C55240|CTCAE Grade 3 Serum Hypertriglyceridemia
C84631|Chilblains
C55244|CTCAE Grade 1 Serum Hyperuricemia
C55245|CTCAE Grade 3 Serum Hyperuricemia
C55229|CTCAE Grade 4 Serum Hypernatremia
C55246|CTCAE Grade 4 Serum Hyperuricemia
C84632|Chondrodysplasia Punctata
C55230|CTCAE Grade 5 Serum Hypernatremia
C75470|17q21 Microdeletion Syndrome
C27080|Refractory Anemia with Excess Blasts in Transformation
C5004|Recurrent High Grade Burkitt-Like Lymphoma
C8202|Stage II Oral Cavity Verrucous Cancer
C5003|Refractory High Grade Burkitt-Like Lymphoma
C5000|Stage III High Grade Burkitt-Like Lymphoma
C3462|Low Grade Lymphoma
C66808|Medulloepithelioma Not Otherwise Specified
C8497|Neurofibromatosis 1 and 2 (NF1 and NF2)
C66802|Oligodendroblastoma
C2857|Pituitary Gland Chromophobe Adenoma
C27824|Reticulosarcoma
C6819|Intermediate Grade B-Cell Non-Hodgkin's Lymphoma
C3210|Mixed Cell Lymphoma
C8210|Stage IV Oral Cavity Verrucous Cancer
C123108|Pauci-Immune Glomerulonephritis - ANCA Negative
C123063|Membranous Nephropathy - NEP Induced
C123064|Membranous Nephropathy - PLA2R Induced
C123065|Membranous Nephropathy - THSD7A Induced
C123109|Pauci-Immune Glomerulonephritis - Renal Limited
C123199|Nephritic Syndrome
C123200|Nephronophthisis
C123082|Nephrotic Syndrome - Hepatitis B Virus Associated
C123083|Nephrotic Syndrome - Hepatitis C Virus Associated
C123084|Nephrotic Syndrome - Human Immunodeficiency Virus Associated
C123201|Nephropathy Associated with Rhabdomyolysis
C98846|Breast Milk Jaundice
C114561|Breastfeeding Jaundice
C35299|Hemolytic Jaundice
C7929|Anticipatory Nausea and Vomiting
C117014|Cyclical Vomiting
C113709|Tortuous Colon
C107517|Delayed Nausea and Vomiting
C118301|Sialorrhea
