C3646|Header_Concept|Neoplasm of Uncertain Malignant Potential|C3341|Pre-Cancerous Condition|NCI-2009-00324
C8436||Atypical Ductal Breast Hyperplasia|C5195|Atypical Hyperplasia of the Breast|NCI-2015-01634,NCI-2016-01112,NCI-2017-00540,NCI-2013-01199,NCI-2013-00995,NCI-2016-00167,NCI-2013-02028,NCI-2016-01938
C36088||Peripheral Breast Papilloma|C3863|Intraductal Breast Papilloma|NCI-2015-01634
C27944||Sclerosing Breast Papilloma|C3863|Intraductal Breast Papilloma|NCI-2015-01634
C3863||Intraductal Breast Papilloma|C3785|Intraductal Papilloma|NCI-2015-01634
C36087||Central Breast Papilloma|C3863|Intraductal Breast Papilloma|NCI-2015-01634
C36089||Atypical Breast Papilloma|C3863|Intraductal Breast Papilloma|NCI-2015-01634
C128460||Recurrent Gastrointestinal Stromal Tumor|C3868|Gastrointestinal Stromal Tumor|NCI-2015-01614
C6846||Thyroid Gland Hyalinizing Trabecular Tumor|C3414|Thyroid Gland Neoplasm|NCI-2016-00453,NCI-2014-01802
C8431||Ovarian Serous Tumor|C4381|Ovarian Epithelial Tumor|NCI-2016-01458,NCI-2013-00405,NCI-2015-00885,NCI-2015-01039,NCI-2015-01910,NCI-2015-02063,NCI-2013-01951,NCI-2012-01544,NCI-2015-00606
C2910||Breast Neoplasm|C3263|Neoplasm by Site|NCI-2015-01261,NCI-2015-00630,NCI-2014-01956,NCI-2016-00103,NCI-2016-01778,NCI-2017-00052,NCI-2015-00057
C3872||Ovarian Brenner Tumor|C7280|Ovarian Transitional Cell Tumor|NCI-2009-00587,NCI-2014-00620,NCI-2013-00405,NCI-2013-00455,NCI-2011-02660,NCI-2014-01397,NCI-2014-00860,NCI-2011-03730,NCI-2016-01593
C3377||Soft Tissue Neoplasm|C3810|Connective and Soft Tissue Neoplasm|NCI-2016-00218,NCI-2017-00247,NCI-2012-00347
C9343||Bone Neoplasm|C3810|Connective and Soft Tissue Neoplasm|NCI-2016-00218,NCI-2017-00247
C5132||Childhood Central Nervous System Neoplasm|C9293|Central Nervous System Neoplasm|NCI-2014-02410,NCI-2016-01258,NCI-2014-00195,NCI-2015-01589,NCI-2016-00272,NCI-2016-00512,NCI-2016-01993,NCI-2014-00547
C71700||Recurrent Central Nervous System Neoplasm|C9293|Central Nervous System Neoplasm|NCI-2016-00678,NCI-2017-00328,NCI-2016-00643,NCI-2015-00420,NCI-2016-01571,NCI-2014-00640,NCI-2016-00512,NCI-2014-02459,NCI-2014-02182,NCI-2016-01412,NCI-2016-00928
C9182||Deep Fibromatosis/Desmoid Tumor|C7333|Intermediate Fibroblastic Neoplasm|NCI-2014-00264,NCI-2013-01475,NCI-2009-00502,NCI-2016-00591,NCI-2015-00081
C3305||Pancreatic Neoplasm|C3052|Digestive System Neoplasm|NCI-2015-01473,NCI-2015-02062,NCI-2015-01205
C3709||Epithelial Neoplasm|C4741|Neoplasm by Morphology|NCI-2016-01802,NCI-2014-02465,NCI-2013-01488
C3273||Neurofibromatosis Type 1|C6727|Neurofibromatosis|NCI-2016-00702,NCI-2013-02084,NCI-2014-00697,NCI-2014-02593,NCI-2014-01467,NCI-2015-01578,NCI-2015-01984,NCI-2015-00456,NCI-2013-02060,NCI-2016-00179,NCI-2013-02061,NCI-2015-01059,NCI-2012-03173,NCI-2015-01146,NCI-2014-02429,NCI-2014-02168,NCI-2015-00181,NCI-2010-01929,NCI-2015-00301,NCI-2014-02502,NCI-2015-01576,NCI-2013-01491,NCI-2014-02182,NCI-2016-01087,NCI-2012-00703,NCI-2014-00213,NCI-2017-00197,NCI-2015-00457
C3274||Neurofibromatosis Type 2|C6727|Neurofibromatosis|NCI-2016-00702,NCI-2014-01039,NCI-2013-02064,NCI-2015-01455,NCI-2016-01372,NCI-2009-01187,NCI-2016-01812,NCI-2012-00347
C8202|Antiquated|Stage II Oral Cavity Verrucous Cancer|C5884|Stage II Oral Cavity Cancer AJCC v6 and v7|NCI-2011-03028,NCI-2012-00692,NCI-2013-02458,NCI-2014-00756,NCI-2012-02047,NCI-2013-00626,NCI-2011-00878,NCI-2010-01741,NCI-2014-01430,NCI-2014-00865,NCI-2014-00939
C8198|Antiquated|Stage I Oral Cavity Verrucous Cancer|C5883|Stage I Oral Cavity Cancer AJCC v6 and v7|NCI-2011-03028,NCI-2012-00692,NCI-2013-02458,NCI-2014-00756,NCI-2012-02047,NCI-2010-01741,NCI-2014-00865,NCI-2014-00939
C115253||Adult Primary Melanocytic Lesion of Meninges|C4661|Primary Melanocytic Lesion of Meninges|NCI-2014-00881,NCI-2013-02344,NCI-2014-01061,NCI-2013-00793
C3572||Malignant Spinal Cord Neoplasm|C3381|Spinal Cord Neoplasm|NCI-2016-01570,NCI-2016-01649,NCI-2014-00949
C9281||Follicular Dendritic Cell Sarcoma|C9294|Histiocytic and Dendritic Cell Neoplasm|NCI-2016-00519
C27349||Histiocytic Sarcoma|C9294|Histiocytic and Dendritic Cell Neoplasm|NCI-2016-00519,NCI-2015-01832
C81767||Indeterminate Dendritic Cell Tumor|C9294|Histiocytic and Dendritic Cell Neoplasm|NCI-2016-00519
C6921||Langerhans Cell Sarcoma|C9294|Histiocytic and Dendritic Cell Neoplasm|NCI-2016-00519
C9282||Interdigitating Dendritic Cell Sarcoma|C9294|Histiocytic and Dendritic Cell Neoplasm|NCI-2016-00519
C81758||Fibroblastic Reticular Cell Tumor|C9294|Histiocytic and Dendritic Cell Neoplasm|NCI-2016-00519
C81772||Disseminated Juvenile Xanthogranuloma|C9294|Histiocytic and Dendritic Cell Neoplasm|NCI-2016-00519
C49079||Cutaneous Fibrous Histiocytoma, Epithelioid Variant|C6801|Cutaneous Fibrous Histiocytoma|NCI-2016-00519
C8614||Hepatobiliary Neoplasm|C3052|Digestive System Neoplasm|NCI-2011-03601,NCI-2015-01426,NCI-2017-00130
C116915||Liquid Tumor|C7062|Neoplasm by Special Category|NCI-2015-01723
C27359||Unresectable Malignant Neoplasm|C9305|Malignant Neoplasm|NCI-2017-00434,NCI-2017-00226,NCI-2012-02037,NCI-2015-01515,NCI-2015-01709,NCI-2015-01915,NCI-2010-00030,NCI-2013-02085,NCI-2017-00604,NCI-2015-00624,NCI-2013-00692,NCI-2015-01796,NCI-2013-02391,NCI-2017-00039,NCI-2015-01955,NCI-2016-00357,NCI-2016-00941,NCI-2015-01328,NCI-2013-01516,NCI-2009-01057
